airline,source,destination,route,total_stops,price,duration_minutes,dep_hours,departure_bucket,month,day_type,route_segment,price_per_hour,rev_opportunity_score
IndiGo,Banglore,New Delhi,Banglore → New Delhi,0,3897,170,22,Night,3,Weekend,Optimization Route,1375.4117647058824,22.923529411764704
Air India,Kolkata,Banglore,Kolkata → Banglore,2,7662,445,5,Morning,5,Weekday,Optimization Route,1033.0786516853932,17.217977528089886
Jet Airways,Delhi,Cochin,Delhi → Cochin,2,13882,1140,9,Morning,6,Weekend,Optimization Route,730.6315789473684,12.177192982456141
IndiGo,Kolkata,Banglore,Kolkata → Banglore,1,6218,325,18,Evening,5,Weekend,Optimization Route,1147.9384615384615,19.13230769230769
IndiGo,Banglore,New Delhi,Banglore → New Delhi,1,13302,285,16,Afternoon,3,Weekday,Premium Route,2800.4210526315787,46.67368421052632
SpiceJet,Kolkata,Banglore,Kolkata → Banglore,0,3873,145,9,Morning,6,Weekday,Optimization Route,1602.6206896551723,26.71034482758621
Jet Airways,Banglore,New Delhi,Banglore → New Delhi,1,11087,930,18,Evening,3,Weekday,Optimization Route,715.2903225806451,11.921505376344086
Jet Airways,Banglore,New Delhi,Banglore → New Delhi,1,22270,1265,8,Morning,3,Weekday,Optimization Route,1056.2845849802372,17.604743083003953
Jet Airways,Banglore,New Delhi,Banglore → New Delhi,1,11087,1530,8,Morning,3,Weekday,Optimization Route,434.7843137254902,7.24640522875817
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,8625,470,11,Morning,5,Weekday,Optimization Route,1101.063829787234,18.351063829787233
Air India,Delhi,Cochin,Delhi → Cochin,1,8907,795,9,Morning,6,Weekend,Optimization Route,672.2264150943396,11.20377358490566
IndiGo,Kolkata,Banglore,Kolkata → Banglore,0,4174,155,20,Evening,4,Weekday,Optimization Route,1615.741935483871,26.929032258064517
Air India,Chennai,Kolkata,Chennai → Kolkata,0,4667,135,11,Morning,6,Weekday,Optimization Route,2074.222222222222,34.57037037037037
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,9663,730,21,Night,5,Weekday,Optimization Route,794.2191780821918,13.236986301369862
IndiGo,Kolkata,Banglore,Kolkata → Banglore,0,4804,155,17,Evening,4,Weekday,Optimization Route,1859.6129032258066,30.993548387096773
Air India,Delhi,Cochin,Delhi → Cochin,2,14011,1595,16,Afternoon,3,Weekend,Optimization Route,527.0595611285266,8.784326018808777
